Topic,Count,Name,Representation,Representative_Docs
0,354,0_murderer_killer_murdering_deaths,"['murderer', 'killer', 'murdering', 'deaths', 'killers', 'killed', 'shooter', 'kill', 'innocent', 'criminal']","['Brian Thompson was directly responsible for the deaths of more Americans than any serial killer or terrorist you can think of, because United Healthcare kills more people than 9/11 killed every year.', 'Few people have killed more than Brian Thompson.', 'Brian Thompson killed more people than his killer so….']"
1,251,1_scandal_ceos_healthcare_executives,"['scandal', 'ceos', 'healthcare', 'executives', 'insurance', 'health', 'exposed', 'medical', 'companies', 'news']","['UnitedHealthcare CEO’s HIDDEN SCANDAL Just Got EXPOSED  via', 'UnitedHealthcare CEO’s HIDDEN SCANDAL Just Got EXPOSED \n via', '""FOR PROFIT"" HEALTHCARE!!!! 🔥🔥🔥☠\n\nUnitedHealthcare CEO’s HIDDEN SCANDAL Just Got EXPOSED  via']"
2,240,2_mangioni_murderer_killer_assassin,"['mangioni', 'murderer', 'killer', 'assassin', 'killed', 'murdering', 'deaths', 'kill', 'hero', 'death']","['Mangione killed one person.*\n\nThompson killed thousands.\n\nAnd you want people to feel bad for Thompson?\n\nCEOs, just like Thompson, killed thousands of people every year and are never held accountable. \n\nMangione is being held accountable.\n\n1000 > 1', 'The main difference being Luigi Mangione killed one person while the Insurance CEO killed thousands of people for profit. In our dystopian capitalist society killing people behind a desk with a pen is somehow ok as long as it enriches our corporate overlords. 🤬', 'The main difference being Luigi Mangione allegedly killed one person while the Insurance CEO killed thousands of people for profit. In our dystopian capitalist society killing people behind a desk with a pen is somehow ok as long as it enriches our corporate overlords. 🤬']"
3,225,3_piss_rest_goes_piece,"['piss', 'rest', 'goes', 'piece', 'bitch', 'alive', 'gonna', 'smoking', 'tweet', 'tears']","['Brian Thompson: Rest In Piss', 'Rest in piss', 'Rest in piss Brian Thompson']"
4,220,4_ceos_corporate_killed_poor,"['ceos', 'corporate', 'killed', 'poor', 'kill', 'deaths', 'murderer', 'die', 'rich', 'victims']","['The CEO killed this man\n\nThe CEO deserved to die in pain and suffering like the people he killed\n\nLuigi is a merciful martyr that put his life on the line for the sake of the American people, and killed his target humanely\n\nLuigi is a hero and you are a bootlicking dog.', 'The government is just putting on a SHOW for the American people to watch and see what happens when you kill a rich elite. But who’s gonna let them know we don’t give AF about dead CEO’s!! Instead FREE LUIGI AND FREE US FROM THIS CAPITALIST SOCIETY!!!!', 'Either way Kyle and Luigi killed less people than the CEO did. No one can make me feel bad for the millionaire who made his money off peoples suffering and denied coverage that lead to many innocent deaths.']"
5,194,5_healthcare_unitedhealthcareceo_insurance_nhs,"['healthcare', 'unitedhealthcareceo', 'insurance', 'nhs', 'medicare', 'medical', 'health', 'patients', 'greed', 'malpractice']","['Y’all always make excuses for people’s bad behaviour but don’t see how people who’ve seen loved ones die from preventable illnesses BECAUSE companies like UnitedHealthcare denied their claims after paying exorbitant premiums for years would blame the guy who made billions off ☠️', 'Only a 6% profit is hard to believe. UnitedHealthCare is a horrible company. They pay their providers poorly and deny a lot of needed medical treatment. But I would never say someone should be murdered because of it.', ""Well #UnitedHealthcare is a big health insurance company and we all know how we feel about health insurances, especially those who don't want to pay for patient's medical needs....like surgery, especially when it is life saving.""]"
6,190,6_insurance_unitedhealth_coverage_healthcare,"['insurance', 'unitedhealth', 'coverage', 'healthcare', 'depose', 'defend', 'claims', 'policies', 'denial', 'deny']","['Brian Thompson killer had the words “deny,” “defend” “depose” on the shell casings that were left behind?\n\nObvious link to the 2010 book: Delay, Deny, Defend.\nWhy insurance companies don’t pay claims and what you can do about it.\n\nSo this must be vigilante justice. They refused…', 'ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially #UnitedHealthcare.', 'ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially United.']"
7,167,7_families_family_parents_dad,"['families', 'family', 'parents', 'dad', 'father', 'fathers', 'children', 'kids', 'everyone', 'empathy']","['What about the thousands of people that also have children that’ll be going through Christmas without their father thanks to Brian Thompson?', 'Yes, Brian Thompson was a human being with a family. He was also a healthcare CEO who was responsible for more deaths than Al Qaeda... every year. \n\nThose people were human beings with families. \n\nDoes that make Brian Thompson despicable? 🤔', 'Yes, Brian Thompson was a human being with a family.\n\nHe was also a healthcare CEO who was responsible for more deaths than Al Qaeda... every year.\n\nThose people were human beings with families. \n\nDoes that make Brian Thompson despicable? 🤔']"
8,166,8_killed_hero_justice_innocent,"['killed', 'hero', 'justice', 'innocent', 'kill', 'heroic', 'guy', 'right', 'criminal', 'responsible']","['right wing hero: protects other people on subway from violent reoffending criminal.\n\nleft wing hero: kills unarmed man with his back turned then runs away.\n\ni really couldn’t care less about some greedy corporate head dying but luigi is far from a hero.', 'If you think Penny killed a man because the guy could potentially cause harm to others then Luigi killed a man that actually harms people for a living and also makes money from killing people. So what are you struggling with retard. If you run a mafia you get dropped sometimes🤷🏻\u200d♂️', 'Luigi is responsible for less deaths than the guy he killed 😂']"
9,166,9_murderer_deaths_killed_sympathy,"['murderer', 'deaths', 'killed', 'sympathy', 'deserved', 'politicians', 'trump', 'innocent', 'mourn', 'death']","['In New York — people are holding an assassination lookalike contest to celebrate the murder of Brian Thompson. The first man interviewed says he would give half of the cash prize to Palestinians. I’m not sure there’s ever been a more debauched group of people than these folks.', ""I don't believe Brian Thompson deserved to be killed because of a bad experience my family had with an insurance company. I believe he deserved to be killed because he oversaw the mass murder of thousands of Americans.\n\nSome of us have empathy for people beyond our own families."", 'In New York — people are holding an assassination lookalike contest to celebrate the murder of Brian Thompson. The first man interviewed says he would give half of the cash prize to Palestinians. I’m not sure there’s ever been a more debauched group of people than today’s left.']"
