Topic,Count,Name,Representation,Representative_Docs
0,879,0_mario_needs_fr_needed,"['mario', 'needs', 'fr', 'needed', 'soon', 'hopefully', 'need', 'want', 'next', 'right']","[""Where's Luigi when u need him 😑"", ""Where's Luigi when you need him 😔"", 'We need a Luigi and we need one right now']"
1,862,1_murderer_killer_killed_deaths,"['murderer', 'killer', 'killed', 'deaths', 'shooter', 'innocent', 'shot', 'deserved', 'death', 'hitler']","['Brian Thompson is a mass murderer and was put down like one.', ""I don't believe Brian Thompson deserved to be killed because of a bad experience my family had with an insurance company. I believe he deserved to be killed because he oversaw the mass murder of thousands of Americans.\n\nSome of us have empathy for people beyond our own families."", 'Brian Thompson had the blood of thousands of people just like this poor person’s family on his hands. he was just as much a killer as the man who shot him, he did it from behind a desk without ever having to face the people whose lives he was ending.']"
2,739,2_insider_ceos_executives_unitedhealth,"['insider', 'ceos', 'executives', 'unitedhealth', 'investors', 'stock', 'insurance', 'healthcare', 'fraud', 'antitrust']","['United Healthcare CEO Brian Thompson and other executives were caught with insider trading, sold $117M of their stock during the federal probe (and investors were not notified)!', '🚨 United Healthcare CEO Brian Thompson and others were caught with insider trading, sold $117 million of their stock during the federal probe without notifying investors. \n\nThompson was facing a DoJ investigation and lawsuit.', 'And people wonder why health insurance CEOs are getting got. United Healthcare CEO Brian Thompson fucked around and found out with his AI that denied 90% of claims.']"
3,736,3_insurers_insurance_unitedhealth_healthcare,"['insurers', 'insurance', 'unitedhealth', 'healthcare', 'medicare', 'coverage', 'health', 'medical', 'providers', 'doctors']","[""Insurance companies make profits from denying to help people. UnitedHealthcare Group had a 32% claim denial rate in 2023, they've done more than just ruin people's lives, they've killed people. I don't think people who do OF kill thousands of people per year."", ""Having health insurance coverage doesn't solve things when the insurance companies can do things like deny claims, which UnitedHealthcare does at the highest rate"", 'UnitedHealthcare has been using an AI system with a 90% error rate to deny health care claims.']"
4,659,4_killed_murderer_killer_kill,"['killed', 'murderer', 'killer', 'kill', 'justice', 'violence', 'criminal', 'deaths', 'innocent', 'guilty']","[""Luigi shot and killed a mass murderer. And you shouldn't have been where you were"", 'If you think Penny killed a man because the guy could potentially cause harm to others then Luigi killed a man that actually harms people for a living and also makes money from killing people. So what are you struggling with retard. If you run a mafia you get dropped sometimes🤷🏻\u200d♂️', 'This is who Luigi should have killed']"
5,607,5_hero_respect_shooter_god,"['hero', 'respect', 'shooter', 'god', 'right', 'guy', 'fuck', 'care', 'shit', 'stand']","['This man is a hero. Go Luigi!', 'I support to Luigi, He is a HERO', 'We agree Luigi is a hero \n\nAll 3 of them are hero’s']"
6,583,6_lorenz_unitedhealth_joy_executives,"['lorenz', 'unitedhealth', 'joy', 'executives', 'sympathy', 'ceos', 'taylor', 'empathy', 'insider', 'news']","['Former Washington Post reporter, Taylor Lorenz, says she was happy that UnitedHealthcare CEO, Brian Thompson, was shot dead: \n\n“I felt, along with so many other Americans, joy.”', 'Read more: Taylor Lorenz says she ""felt joy"" after the murder of UnitedHealthcare CEO', '🚨BREAKING: Taylor Lorenz says she felt “joy” over the UnitedHealthcare CEO getting shot.']"
7,550,7_ceos_billionaire_killed_killer,"['ceos', 'billionaire', 'killed', 'killer', 'corrupt', 'deaths', 'kill', 'corporate', 'greed', 'ted']","[""A health insurance CEOs job is to deny coverage to as many people in need as possible. Luigi (allegedly) assassinated someone with millions of blood on their hands. Ted Bundy was a serial killer who targeted the weak. It's so different. \n\nIf anything, he's more like Dexter"", ""That CEO felt the need to decide who should live and who should not by denying health care, he only cared about their money, he killed a LOT of people, Luigi killed only one, the murderer of all those people, that's justice"", ""And Luigi didn't kill people, he killed a CEO. See I can do it too.""]"
8,510,8_mangiones_mangioni_freeluigimangione_mangioned,"['mangiones', 'mangioni', 'freeluigimangione', 'mangioned', 'luigimangione', 'freeluigi', 'free', 'hero', 'man', 'christmas']","['Free Mangione.', 'FREE MANGIONE', 'FREE MY MANGIONE!!!']"
9,437,9_healthcare_obamacare_insurance_health,"['healthcare', 'obamacare', 'insurance', 'health', 'medical', 'care', 'coverage', 'pay', 'industry', 'money']","['us healthcare can go fuck itself, free luigi', ""Don't care. Someone needed to do something bold to show what a racket the health care industry is. The United guy was at a fucking investment meeting. Nobody should be making money off denied health insurance claims. \n\nFree Luigi now."", 'How many loved ones have died from health care denied to them health insurance companies?\n\nWhat Luigi did was the inevitable result of a system which denies people life saving care']"
