Topic,Count,Name,Representation,Representative_Docs
0,358,0_luigimangione_prayers_family_pray,"['luigimangione', 'prayers', 'family', 'pray', 'hope', 'cheering', 'murderer', 'arrest', 'devastated', 'daniel']","[""Luigi Mangione shot a man in the back, like a coward, just because the man was head of a company that wouldn't give Luigi's rich family free money."", ""Luigi Mangione’s family has released a statement:\n\n“We only know what we have read in the media. Our family is shocked and devastated by Luigi's arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.”"", 'NEW from Luigi Mangione\'s family:\n""We only know what we have read in the media. Our family is shocked and devastated by Luigi’s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved. We are devastated by this news.""']"
1,241,1_murderer_evil_innocent_killer,"['murderer', 'evil', 'innocent', 'killer', 'killed', 'taylor', 'death', 'lorenz', 'justice', 'disturbing']","['PURE EVIL: There are no words to describe how sick and evil Taylor Lorenz is. She literally laughed and says she felt ""joy"" when Brian Thompson was killed.\n\nTaylor Lorenz is a heartless, disgusting subhuman piece of trash.', 'Brian Thompson was a person to whether you like it or not and you all are making a hero out of his killer and celebrating his death . Do you have any sympathy for his two children and his wife?', 'JUSTICE FOR BRIAN. THE PEOPLE NEED TO RALLY FOR WHAT IS GOOD. NOT WHAT IS BAD.\n\nBRIAN THOMPSON WAS SHOT AND MURDERED IN COLD BLOOD. HIS FAMILY WANT JUSTICE.']"
2,233,2_unitedhealth_healthcare_fatally_brianthompson,"['unitedhealth', 'healthcare', 'fatally', 'brianthompson', 'killed', 'leadership', 'condolences', 'death', 'insurance', 'fatal']","['Brian Thompson, the 50-year-old CEO of UnitedHealthcare, was a highly respected leader in the healthcare industry, with nearly 20 years of experience with the company before his tragic death outside a Hilton hotel in Manhattan..', 'UnitedHealth Leader Addresses CEO Murder and Flaws in Health Care System\n\nIn an op-ed published in The New York Times, Andrew Witty, CEO of UnitedHealth Group, paid tribute to the late CEO Brian Thompson, who was tragically shot and killed in New York City. Witty acknowledged the…', 'Brian Thompson, the CEO of UnitedHealthcare, was assassinated in New York City yesterday. The 50-year-old executive was fatally shot outside the New York Hilton Midtown hotel in what authorities describe as a targeted attack. In one word, let us honor his memory.']"
3,179,3_iowa_graduated_jewell_employees,"['iowa', 'graduated', 'jewell', 'employees', 'companies', 'beautician', 'family', 'father', 'dad', 'farmers']","['Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator', 'This is who Luigi shot\n\n""Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator—they were probably really…', 'Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator—they were probably really proud when he graduated…']"
4,169,4_piers_unitedhealth_morgan_ceos,"['piers', 'unitedhealth', 'morgan', 'ceos', 'lorenz', 'wapo', 'health', 'executive', 'murderer', 'death']","['The leader of UnitedHealth Group conceded that the patchwork U.S. health system “does not work as well as it should” but said Friday that the insurance executive gunned down on a Manhattan sidewalk cared about customers and was working to make it better.', 'Piers Morgan Slams Beaming Former WaPo Hack Taylor Lorenz For Saying She Felt ‘Joy’ Over Murder of UnitedHealthcare CEO (Video)  #gatewaypundit via', 'Piers Morgan Slams Beaming Former WaPo Hack Taylor Lorenz For Saying She Felt ‘Joy’ Over Murder of UnitedHealthcare CEO (Video)']"
5,147,5_murderer_killer_killed_hero,"['murderer', 'killer', 'killed', 'hero', 'murdering', 'wealthy', 'poor', 'rich', 'dad', 'father']","['So this Luigi prick grew up in a wealthy, politically connected family, attended the best boarding school and Ivy League, and he killed a guy who came from blue collar roots, made his way up the ladder due to hard work, and had a wife and kids that loved him. Luigi is a monster.', ""Don't tell me this Luigi guy is some sort of hero. He came from a very wealthy family. He could've used his family's wealth and influence to effectuate real change.\n\nInstead, he killed an innocent stranger on the street in cold blood and now a couple children get to spend the…"", 'There Alot of sick people here who are seeing this luigi as a hero. He killed a man, and the death of one person will do nothing to help the cause. This is like big pharma they will take another person and continue like before. Stop glorifying killers.']"
6,127,6_murderer_celebrating_killer_healthcare,"['murderer', 'celebrating', 'killer', 'healthcare', 'news', 'killed', 'celebrate', 'death', 'liberals', 'appalling']","['Let’s get this straight. \n\nSince the left is actually celebrating the death of United Healthcare’s CEO Brian Thompson, the lack of outcry for gun control is deafening. \n\nIf they really mean what they say, the left has to change their whole stance on guns. \n\nOr is it a…', 'This nut is celebrating the murder of United Healthcare CEO Brian Thompson. These people are sick!', 'I DON’T CARE IF YOU LIKE SOMEONE OR NOT, CELEBRATING OR WISHING DEATH ON A PERSON IS JUST EVIL! Left-Wing Journalists Celebrate Murder of Health Insurance CEO Brian Thompson']"
7,107,7_luigimangione_god_clown_king,"['luigimangione', 'god', 'clown', 'king', 'guy', 'hero', 'followed', 'hear', 'heart', 'dad']","[""I just want to know who he is, to get lost with him. I'm in love with how he came out in this damn photo and I know perfectly well that it's not Luigi and screw me... he never will be. But my curious mind attracts me to him like a magnet.."", ""What Luigi no I don't know a thing Luigi is a good person to be honest I'm little blind in one of my eyes honestly free him he's a good man with great leadership God can strike me down 3 times and cross my heart"", ""Luigi isn't remotely like you. From what everyone says about him he's a good family man while you left your on family homeless. Plus you look like a real bitch compared to him""]"
8,99,8_ceos_insurance_healthcare_murdering,"['ceos', 'insurance', 'healthcare', 'murdering', 'murderer', 'killer', 'care', 'customer', 'rich', 'killed']","['I wonder if Luigi +the morons supporting him know the man he shot was the only 1 who was screaming at the others that something like this would happen if they don’t stop their ways, bad insurance coverage +denials are due to Obama Care &employers dictate what the ins will cover?', ""And they do it because there's good money! Who wouldn't?\n\nIt's still them that are the source of the cost problem. People like the healthcare CEO have to deal with that problem downstream. And he's dead now because idiots like Luigi think he was to blame for the cost problems."", 'Luigi grew up in privilege, was never even a customer of UHC, apparently did get treatment for his back.\n\nBrian Thompson grew up middle class and made his own way.\n\nLiberals are cheering on a coddled rich kid who murdered a good guy who worked for everything he had.']"
9,93,9_coward_kyle_cowardly_defended,"['coward', 'kyle', 'cowardly', 'defended', 'defending', 'violent', 'unarmed', 'killed', 'defend', 'gun']","['Kyle was a hero who defended himself against attackers. Luigi murdered an innocent man in cold blood. Where’s the comparison?', 'Kyle took out democrats pedophile terrorists that were trying to murder or rape him. Luigi shot an unarmed man in the back. Luigi is a coward just like you are', ""There's a difference between shooting someone in self-defense face to face like Kyle Rittenhouse did. Your hero Luigi shot an unarmed man in the back like a coward. Watch the videos of both.""]"
