Unnamed: 0,ID,Url,original_text,gpt.4.1.mini_stance,Date,Topic
21,21,http://twitter.com/SampleCady/statuses/1866241088148631595,Thank you for the response #TSTheErasTour #UnitedAgainstCorruption #UnitedHealthcare #healthcare #LifeSaver #fighters #everyone #Trending #AlwaysWonder,1,12/9/2024 21:58,1
409,409,http://twitter.com/Bennytillerman/statuses/1866234064283521427,Brian Thompson was from a small town in Iowa of 1200 people and graduated with a BS Biz & Accounting degree from the U of Iowa. He literally just worked his way up the corporate ladder. He lived in a mostly middle class suburb and his kids go to a public school.,1,12/9/2024 21:30,19
482,482,http://twitter.com/1ce2EveryMan/statuses/1866232813957329404,"10 children. 
Big donors to local community College",1,12/9/2024 21:25,11
549,549,http://twitter.com/KaialisBennings/statuses/1866231659248472473,Hopefully they find this killer in New York who he took down CEO UnitedHealthCare Brian Thompson last week and i hope they can find this killer now. prevail this now y'all.,1,12/9/2024 21:21,9
630,630,http://twitter.com/wake_up_girl_3/statuses/1866230344480903209,Why would  repost this. So she follows Luigi and she reposts this video and spoke on how she wished these CEO’s death.,1,12/9/2024 21:16,13
900,900,http://twitter.com/oh_my_joon/statuses/1866226098272366647,The UnitedHealthCare ceo 😭😭,1,12/9/2024 20:59,1
903,903,http://twitter.com/ABC/statuses/1866226080668885359,"UnitedHealth issued a statement after the arrest of a person of interest in murder of CEO Brian Thompson, saying, ""our hope"" is the arrest brings ""some relief to Brian's family, friends, colleagues and the many others affected by this unspeakable tragedy.""",1,12/9/2024 20:59,7
976,976,http://twitter.com/davegfield/statuses/1866224870884855958,Brian Thompson was a fine father. When the dad moves out you can have Xbox at one house and PlayStation at the other. In my case it was snes and genesis,1,12/9/2024 20:54,2
1007,1007,http://twitter.com/businessmaneth/statuses/1866224370974445981,"Luigi Mangione:

- Elite high school & college education (IQ undoubtedly high).

- Couldn’t crack it in America (skills issue).

- Takes anger at society out on the CEO Brian Thompson (a good man by all accounts).

- This has everything to do with Luigi’s personal shortcomings.…",1,12/9/2024 20:52,0
1084,1084,http://twitter.com/tom01425636/statuses/1866222616123691378,Give him a medal,1,12/9/2024 20:45,2
1129,1129,http://twitter.com/bryanalaventure/statuses/1866222125553786935,WHY LUIGI WHY,1,12/9/2024 20:43,8
