Topic,Count,Name,Representation,Representative_Docs
0,664,0_insurance_healthcare_unitedhealth_medicare,"['insurance', 'healthcare', 'unitedhealth', 'medicare', 'claims', 'ceos', 'doctors', 'claim', 'health', 'coverage']","['Will you stop trying to make this story bipartisan? A lot of people, both Democrats and Republicans are getting fucked by the health insurance like #UnitedHealthcare and getting claims denied while CEOs like #BrianThompson getting millions of dollars per a year.', ""Having health insurance coverage doesn't solve things when the insurance companies can do things like deny claims, which UnitedHealthcare does at the highest rate"", 'This CEOs company denied the most claims in the health insurance agency.']"
1,546,1_ceos_killed_deaths_murdering,"['ceos', 'killed', 'deaths', 'murdering', 'died', 'justice', 'corrupt', 'rich', 'death', 'companies']","[""That CEO felt the need to decide who should live and who should not by denying health care, he only cared about their money, he killed a LOT of people, Luigi killed only one, the murderer of all those people, that's justice"", 'The CEO that was killed is directly responsible for the suffering and deaths of many people through denied Healthcare. \n\nLuigi killed in cold blood, but the person who died is for the benefit of many. A death that was needed; but done in a horrible way.', 'Either way Kyle and Luigi killed less people than the CEO did. No one can make me feel bad for the millionaire who made his money off peoples suffering and denied coverage that lead to many innocent deaths.']"
2,462,2_healthcare_deaths_insurance_profits,"['healthcare', 'deaths', 'insurance', 'profits', 'died', 'ceos', 'medicare', 'profit', 'death', 'health']","['Shot on his way to break the news to investors that United Healthcare had again made record profits by denying lifesaving care time and time again, to millions of Americans. \n\nPeople are dying every single day because of the greed of men like Brian Thompson. Desperate times.', 'What about the human beings whose lives were ruined or ended because brian thompson’s company denied their health insurance claims so he can make millions? His life is worth more?', 'How many posts like this have you made for any of the 68,000 people who die each year because our healthcare system is run by pathologically greedy health insurance corporations like the one that Brian Thompson ran?']"
3,449,3_healthcare_insurance_unitedhealth_ai,"['healthcare', 'insurance', 'unitedhealth', 'ai', 'medical', 'ceos', 'executives', 'coverage', 'health', 'executive']","[""Murdered health insurance boss backed 'AI that denied 90% of coverage: \n\nA controversial AI program used to deny elderly people health coverage is now at the center of questions about the shooting of the UnitedHealthcare CEO."", 'Oh no!\n\nThe CEO of United Healthcare who used AI to deny health coverage to millions, Brian Thompson, was shot in the chest and died.\n\nAnyway', 'And people wonder why health insurance CEOs are getting got. United Healthcare CEO Brian Thompson fucked around and found out with his AI that denied 90% of claims.']"
4,415,4_murderer_murderers_killer_murdering,"['murderer', 'murderers', 'killer', 'murdering', 'deaths', 'killed', 'killers', 'shooter', 'kill', 'innocent']","['The problem is Brian Thompson was not an innocent man. He killed many people. Just because what he did was legal. Does not make it not murder. It is legal to kill poor people in the USA. The person who killed him is a modern day Robin Hood who served up justice to many people.', 'Brian Thompson is a mass murderer and was put down like one.', 'Few people have killed more than Brian Thompson.']"
5,386,5_luigimangione_murderer_killer_deaths,"['luigimangione', 'murderer', 'killer', 'deaths', 'murdering', 'killed', 'healthcare', 'unitedhealth', 'ceos', 'unitedhealthcareassassin']","['The main difference being Luigi Mangione allegedly killed one person while the Insurance CEO killed thousands of people for profit. In our dystopian capitalist society killing people behind a desk with a pen is somehow ok as long as it enriches our corporate overlords. 🤬', ""Ted Bundy killed innocent women.\n\nLuigi Mangione killed a multi-millionaire CEO of United Health Care who made his $millions denying health care coverage; UHC's business practices kill far more people each year than every serial killer who ever lived combined. Not cheering, BUT…"", 'This is Luigi mangione guy that killed United healthcare ceo \n\nDivisive figure now. Despite being a murderer, kind of a hero to many folks because fuck the healthcare system. His company fucked over a lot of people']"
6,364,6_deaths_rich_died_murderer,"['deaths', 'rich', 'died', 'murderer', 'poor', 'killed', 'greed', 'profits', 'moral', 'death']","['People celebrate his death because he was a CEO of a health care service that ruined the lives of millions of Americans who up-charged prices much higher than the industry standard. Brian Thompson was murderer and got rich off the struggle and death of American families', 'And yet you never complained about all the people who died to make Brian Thompson rich, it’s almost like you only care about rich people who kill for profit or something', 'Just a reminder that Brian Thompson would have (and did) watch thousands of people die if it meant his company made more money. The lives of others meant nothing to him, why should we feel bad for the loss of his?\n\nThere is no sympathy left for the deaths of evil people.']"
7,346,7_killed_murderer_killer_kill,"['killed', 'murderer', 'killer', 'kill', 'deaths', 'died', 'die', 'justice', 'acted', 'death']","['If you think Penny killed a man because the guy could potentially cause harm to others then Luigi killed a man that actually harms people for a living and also makes money from killing people. So what are you struggling with retard. If you run a mafia you get dropped sometimes🤷🏻\u200d♂️', 'Luigi is responsible for less deaths than the guy he killed 😂', 'This is who Luigi should have killed']"
8,277,8_piss_rest_bitch_gonna,"['piss', 'rest', 'bitch', 'gonna', 'fuck', 'guy', 'suck', 'god', 'alive', 'tears']","['Rest in piss Brian Thompson', 'Rest in piss', 'Rest in Piss Brian Thompson 🫡']"
9,153,9_lorenz_joy_executives_empathy,"['lorenz', 'joy', 'executives', 'empathy', 'taylor', 'cheering', 'sickening', 'healthcare', 'felt', 'laughing']","[""Taylor Lorenz tells Piers Morgan she felt 'joy' over killing of UnitedHealthcare CEO Brian Thompson"", 'Read more: Taylor Lorenz says she ""felt joy"" after the murder of UnitedHealthcare CEO', 'Taylor Lorenz says she ""felt joy"" after the murder of UnitedHealthcare CEO']"
