Topic,Count,Name,Representation,Representative_Docs
0,383,0_murderer_killer_deaths_murderers,"['murderer', 'killer', 'deaths', 'murderers', 'murdering', 'killed', 'killers', 'shooter', 'kill', 'death']","['He murdered a mass murderer. Brian Thompson was responsible for the deaths of thousands.', 'Brian Thompson killed more people than his killer.', 'Brian Thompson killed more people than his killer so….']"
1,289,1_healthcare_nypd_killer_shooter,"['healthcare', 'nypd', 'killer', 'shooter', 'ceos', 'assassin', 'insurance', 'executives', 'sympathy', 'killed']","['The people who participated are:\n\nNew Yorkers celebrate assassination of UnitedHealthcare CEO with shooter look-a-like contest: ‘I wear this everywhere’', 'I’m not saying I’m okay with murdering people but you can’t tell me this UnitedHealthCare shooter isn’t someone who lost a loved one because UHC decided they know more than doctors and refused coverage for something life-saving. Karma 🤷🏻\u200d♀️', 'New Yorkers celebrate assassination of UnitedHealthcare CEO with shooter look-a-like contest']"
2,274,2_ceos_corporate_killed_murderer,"['ceos', 'corporate', 'killed', 'murderer', 'deaths', 'killer', 'rich', 'kills', 'kill', 'capitalist']","['The CEO that was killed is directly responsible for the suffering and deaths of many people through denied Healthcare. \n\nLuigi killed in cold blood, but the person who died is for the benefit of many. A death that was needed; but done in a horrible way.', ""So you're OK with the CEO being the cause of tens of thousands of deaths and countless more suffering for money? Normally, we'd call people like that a criminal; you know people who take lives for money.\nMaybe Luigi is the good guy with a gun I've heard so much about."", 'Either way Kyle and Luigi killed less people than the CEO did. No one can make me feel bad for the millionaire who made his money off peoples suffering and denied coverage that lead to many innocent deaths.']"
3,273,3_unitedhealthcareceo_healthcare_insurance_nhs,"['unitedhealthcareceo', 'healthcare', 'insurance', 'nhs', 'medicare', 'scandal', 'ceos', 'health', 'medical', 'hospitals']","['Will you stop trying to make this story bipartisan? A lot of people, both Democrats and Republicans are getting fucked by the health insurance like #UnitedHealthcare and getting claims denied while CEOs like #BrianThompson getting millions of dollars per a year.', ""Well #UnitedHealthcare is a big health insurance company and we all know how we feel about health insurances, especially those who don't want to pay for patient's medical needs....like surgery, especially when it is life saving."", '""FOR PROFIT"" HEALTHCARE!!!! 🔥🔥🔥☠\n\nUnitedHealthcare CEO’s HIDDEN SCANDAL Just Got EXPOSED  via']"
4,258,4_insurance_deaths_healthcare_medicare,"['insurance', 'deaths', 'healthcare', 'medicare', 'died', 'death', 'dying', 'health', 'policy', 'killed']","['You\'re insinuating the murder of Brian Thompson in NYC was justified? \n""Health insurance companies are responsible for the deaths of hundreds of thousands of Americans each each year and when denying claims and coverage for people who can’t always afford health insurance costs.""', 'How many people has Brian THOMPSON killed by denying them health coverage?', 'Every single person who died after being denied healthcare by his company was also a human being with a family. Fuck Brian Thompson.']"
5,248,5_piss_rest_bitch_fuck,"['piss', 'rest', 'bitch', 'fuck', 'goes', 'god', 'shit', 'gonna', 'suck', 'guy']","['Rest in piss you piece of shit', 'Rest in piss Brian Thompson', 'Brian Thompson: Rest In Piss']"
6,245,6_killer_killed_murderer_died,"['killer', 'killed', 'murderer', 'died', 'hero', 'deaths', 'kill', 'deserves', 'innocent', 'case']","['Luigi is responsible for less deaths than the guy he killed 😂', ""Luigi is a hero for eliminating this vermin killer! He has a good chance of being acquitted since everyone knows someone who's been denied health insurance coverage and has suffered at the hands of insurance companies. Thompson was basically a killer of thousands. Good riddance."", ""Luigi is a hero for eliminating a vermin killer! He has a good chance of being acquitted since everyone knows someone who's been denied insurance and has suffered or died at the hands of insurance companies. Thompson was basically a killer of thousands. Good riddance. #FreeLuigi""]"
7,211,7_insider_ceos_unitedhealth_stock,"['insider', 'ceos', 'unitedhealth', 'stock', 'executives', 'investors', 'investor', 'healthcare', 'fraud', 'profit']","['United Healthcare CEO Brian Thompson and other executives were caught with insider trading, sold $117M of their stock during the federal probe (and investors were not notified)! Thompson gets shot at investor conference. \n\nQ3815\n""What happens when people learn the TRUTH?…', 'United Healthcare CEO Brian Thompson and other executives were caught with insider trading, sold $117M of their stock during the federal probe (and investors were not notified)! Thompson gets shot at investor conference. \n\nQ3815\n""What happens when people learn the TRUTH?', 'United Healthcare CEO Brian Thompson and other executives were caught with insider trading, sold $117M of their stock during the federal probe (and investors were not notified)!']"
8,206,8_families_family_parents_father,"['families', 'family', 'parents', 'father', 'dad', 'fathers', 'poor', 'wealthy', 'deaths', 'children']","[""how many kids do you think don't have their father this Christmas because Brian Thompson got rich denying their care"", 'Yes, Brian Thompson was a human being with a family. He was also a healthcare CEO who was responsible for more deaths than Al Qaeda... every year. \n\nThose people were human beings with families. \n\nDoes that make Brian Thompson despicable? 🤔', 'Yes, Brian Thompson was a human being with a family.\n\nHe was also a healthcare CEO who was responsible for more deaths than Al Qaeda... every year.\n\nThose people were human beings with families. \n\nDoes that make Brian Thompson despicable? 🤔']"
9,195,9_mourn_sympathy_murderer_died,"['mourn', 'sympathy', 'murderer', 'died', 'killed', 'suffering', 'death', 'remorse', 'die', 'trump']","['I’m sorry but I only have concepts of thoughts and prayers for Brian Thompson. Mourn the deaths of the thousands upon thousands of innocent people that Brian Thompson directly impacted. Fuck UHC and fuck denying claims for struggling Americans.', ""We need to get something straight.\n\nI'm not celebrating the death of Brian Thompson.\n\nI'm celebrating the working class speaking up for the thousands of people he was killing through denial of health care."", 'Just a reminder that Brian Thompson would have (and did) watch thousands of people die if it meant his company made more money. The lives of others meant nothing to him, why should we feel bad for the loss of his?\n\nThere is no sympathy left for the deaths of evil people.']"
10,189,10_killed_murdering_deaths_bundy,"['killed', 'murdering', 'deaths', 'bundy', 'kills', 'innocent', 'kill', 'death', 'corrupt', 'ted']","['what a horrible inaccurate comparison. ted bundy raped and killed innocent women . luigi *allegedly* killed a man who kills millions of americans yearly bc they don’t have access to health care or did not pay for the premiums package so they can’t get quality healthcare', 'Yes people would be mad at Luigi if he murdered someone that’s innocent! But the thing is that the greedy CEO that got killed, was responsible for countless deaths after HIS company denied health insurance claims, just so they could shove more money into their pockets.', ""Ted Bundy killed innocent women.\n\nLuigi Mangione killed a multi-millionaire CEO of United Health Care who made his $millions denying health care coverage; UHC's business practices kill far more people each year than every serial killer who ever lived combined. Not cheering, BUT…""]"
11,187,11_insurance_healthcare_ceos_health,"['insurance', 'healthcare', 'ceos', 'health', 'policies', 'care', 'medical', 'support', 'fuck', 'company']","['well he is the ceo and decision maker for a healthcare company that literally denies people their healthcare that they pay for so yeah. \nLuigi may have killed that guy, but that guy was responsible for hundreds of thousands of deaths so fuck him. 🤷🏻\u200d♀️', ""Fuck you corpo mouthpiece. It's not strange people support Luigi. I hope your whole family is denied health insurance every time they're sick. That ceo single handedly killed tens of thousands of our fellow citizens, yet bootlicker pos like you is defending him."", ""Don't care. Someone needed to do something bold to show what a racket the health care industry is. The United guy was at a fucking investment meeting. Nobody should be making money off denied health insurance claims. \n\nFree Luigi now.""]"
