Topic,Count,Name,Representation,Representative_Docs
0,83,0_unitedhealth_executives_healthcare_andrew,"['unitedhealth', 'executives', 'healthcare', 'andrew', 'insurer', 'organization', 'health', 'leadership', 'inc', 'tragic']","['UnitedHealth Group CEO Andrew Witty has issued an emotional tribute to Brian Thompson, the head of the group’s insurance arm, UnitedHealthcare, following Thompson’s death at the hands of a gunman.', 'UnitedHealth Leader Addresses CEO Murder and Flaws in Health Care System\n\nIn an op-ed published in The New York Times, Andrew Witty, CEO of UnitedHealth Group, paid tribute to the late CEO Brian Thompson, who was tragically shot and killed in New York City. Witty acknowledged the…', 'The full statement from UnitedHealth Group regarding their colleague Brian Thompson:\n\nUnitedHealth Group Statement on Our Friend and Colleague Brian Thompson \nDecember 05, 2024\n\nUnitedHealth Group today issued the following statement:\n\n""While our hearts are broken, we have been…']"
1,68,1_unitedhealth_assassinated_died_executive,"['unitedhealth', 'assassinated', 'died', 'executive', 'fatally', 'killed', 'healthcare', 'shot', 'fatal', 'condolences']","['🚨 JUST IN: Surveillance Footage Shows UnitedHealthcare CEO Fatally Shot: \n\nBrian Thompson was gunned down outside the Hilton Hotel in Midtown Manhattan. A truly tragic and heartbreaking incident. 🇺🇸 🙏🏾', '🚨WIFE OF SLAIN UNITEDHEALTHCARE CEO REVEALS HE RECEIVED THREATS BEFORE SHOOTING\n\nPaulette Thompson, wife of UnitedHealthcare CEO Brian Thompson, disclosed that her husband had been receiving threats before he was fatally shot outside a Midtown Manhattan hotel.\n\nIn her first…', 'Brian Thompson, the CEO of UnitedHealthcare, was assassinated in New York City yesterday. The 50-year-old executive was fatally shot outside the New York Hilton Midtown hotel in what authorities describe as a targeted attack. In one word, let us honor his memory.']"
2,65,2_fate_award_olympics_thoma,"['fate', 'award', 'olympics', 'thoma', 'props', 'cmatx', 'forgotten', 'touchdown', 'festive', 'christmas']","['The annual appearance of the holiday suits marks a joyous end of another year in our cycle of free monthly events. Big props to our co-founders Ben Thoma  and Brian Thompson  for donning their festive attire! #CMcycle #CMATX', 'And this weeks ""Flying Fickle Finger of Fate"" award goes to...you guessed it, Brian Thompson! Let\'s have a big hand for Brian, folks!', 'For the second week in a row. This weeks ""Flying Fickle Finger of Fate"" award goes to...you guessed it, Brian Thompson! Let\'s have a big round of applause for Brian, folks! Gone...yes, but not forgotten!']"
3,57,3_luigimangione_mangioni_chris_murderer,"['luigimangione', 'mangioni', 'chris', 'murderer', 'snl', 'murdering', 'brianthompson', 'killed', 'drug', 'rock']","['Chris Rock spoke on Luigi Mangione during his SNL monologue\n\n“He actually k*lled a man with a family, with kids. I have real condolences for the Healthcare CEO. This is a real person… but sometimes drug dealers get shot”', '“[Luigi Mangione] killed a man with a family, with kids. I have real condolences for the healthcare CEO. This is a real person…But sometimes drug dealers get shot.”\n\n— Chris Rock on the UnitedHealthcare CEO assassination', 'Chris Rock: [Luigi Mangione] killed a man with a family, with kids. I have real condolences for the (United)Healthcare CEO. This is a real person… But… you know, sometimes drug dealers get shot.']"
4,55,4_horrified_killer_horrifying_taylor,"['horrified', 'killer', 'horrifying', 'taylor', 'murders', 'died', 'lorenz', 'joyful', 'death', 'celebrating']","['Taylor Lorenz is deranged. She\'s so quick to acknowledge joyful bliss is the slaying of a man with the hyperbolic justification ""...the tens of thousands of Americans that he murdered!”. \n\nBrian Thompson didn\'t murder anyone. \n\nTaylor Lorenz should be shunned.', 'Disturbing! How does this make anyone feel “joyful”?\n\nTaylor Lorenz is laughing over Brian Thompson’s death and says it brings her joy. Piers is having no part of it! Disgusting that anyone would feel this way!', 'There is absolutely no justification for anyone to feel JOY over the assassination of Brian Thompson. Taylor Lorenz should be ashamed of herself. She really needs a good rest to think about why she felt that feeling about someone who died, or to celebrate the assassination! ###']"
5,54,5_luigimangione_mangioni_prayers_praying,"['luigimangione', 'mangioni', 'prayers', 'praying', 'news', 'pray', 'family', 'jesus', 'arrest', 'devastated']","['NEW from Luigi Mangione\'s family:\n""We only know what we have read in the media. Our family is shocked and devastated by Luigi’s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved. We are devastated by this news.""', ""Luigi Mangione’s family has released a statement:\n\n“We only know what we have read in the media. Our family is shocked and devastated by Luigi's arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.”"", 'Statement from Luigi Mangione\'s family:\n\n""Our family is shocked and devastated by Luigi\'s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.""']"
6,52,6_insurance_healthcare_health_condolences,"['insurance', 'healthcare', 'health', 'condolences', 'medical', 'death', 'ceos', 'killed', 'die', 'rip']","[""If Brian Thompson's death winds up propelling a renewed demand for🇺🇸Universal Healthcare, then his family can know he didn't die in vain. Hope millions are fully grasping the depth and breadth of righteous anger seething across this country towards the Health Insurance Industry!"", 'The killing of Brian Thompson is a great tragedy, and I send condolences to his loved ones, co-workers, and friends.\n\nThe social media posts have revealed a widespread antipathy to the health insurance industry.\n\nPeople are frustrated with health insurance for the following…', ""Whatever you may think of Mr. Brian Thompson, his company, or the health insurance industry in general, I'm sure decent people can agree that this act is heinous, and Mr. Thompson & his associates, friends & family don't deserve this.\n\nCondolences 🙏 to Mr. Thompson's family.""]"
7,51,7_obamacare_healthcare_insurer_insurance,"['obamacare', 'healthcare', 'insurer', 'insurance', 'ceos', 'medicare', 'sympathy', 'warren', 'tragic', 'health']","['Do you feel bad for Brian Thompson, CEO of United Healthcare?', ""Sen. Elizabeth Warren condemned the assassination of UnitedHealthcare CEO Brian Thompson, acknowledging the frustration many feel toward insurance companies. While she stressed that violence is never justified, she noted it's a warning for the healthcare system. The tragedy…"", ""I am deeply disturbed by the reactions of some individuals who are seemingly celebrating the tragic death of the United Healthcare CEO, Brian Thompson. Regardless of one's opinions about the healthcare industry or the policies of United Healthcare, there is no justification for…""]"
8,48,8_shooter_hanged_killer_martyr,"['shooter', 'hanged', 'killer', 'martyr', 'killed', 'justice', 'kill', 'executed', 'hero', 'shot']","['If Hicock or Earp were today in charge of Law enforcement in NYC, Mangionie would be hanged for murder. Just like Jack McCall was hanged for shooting Hicock in the back. This backshooter IS NO HERO. Brian Thompson never knew why this cowardly backshooter shot him in the back.', 'This guy mangione thinks he’s done society a favor buy killing a CEO. He’s actually proven he’s a coward especially when you shoot a man in the back. This man had a wife and family and he’s a sick young man and I hope he gets the death penalty or lots of jail time', 'Except Mangione’s family isn’t “working class,” but VERY wealthy & could afford any care he needed. Stop making the shooter heroic. He executed a human being, a husband & father (he didn’t destroy an establishment’s bad policy, regulatory red tape, or corruption) Dont normalize']"
9,48,9_finale_justice_killed_murderer,"['finale', 'justice', 'killed', 'murderer', 'died', 'killer', 'kill', 'death', 'pumped', 'nick']","['The full circle. (Someone killed Brian).\n\n- $DDD pumped. \n- $LUIGI pumped (today).\n\nThen finally comes back to who died and why, do the people seek Justice?\n\n- JUSTICE FOR #BRIAN THOMPSON (the finale).\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump', 'The full circle. (Someone killed Brian).\n\n- $DDD pumped. \n- $LUIGI pumped (today).\n\nThen finally comes back to who died and why, do the people seek Justice?\n\n- JUSTICE FOR #BRIAN THOMPSON! (the finale).\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump', 'The full circle. (Someone killed Brian).\n\n- $DDD pumped. \n- $LUIGI pumped (today).\n\nThen finally comes back to who died and why, do the people seek Justice?\n\n- JUSTICE FOR #BRIAN THOMPSON !! (the finale).\n\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump']"
10,48,10_ceos_innocent_sympathy_trump,"['ceos', 'innocent', 'sympathy', 'trump', 'cnn', 'unhinged', 'maga', 'liberals', 'empathy', 'responsible']","['Unhinged leftist says the UnitedHealthcare CEO was a billionaire who was responsible for the de*ths of millions so you shouldn’t feel bad for his family.\n\nSo now even innocent family members deserve to suffer?\n\nThis woman is deranged. Couldn’t tell by the glasses and nose ring.', ""I guess little fella didn't learn. He constantly demonizes CEOs. Brian Thompson CEO of United Healthcare was MURDERED yesterday in NYC. Instead of giving it a rest little fella doubles down on disparaging another CEO. Looks like litter fella won't stop until all CEOs are murdered"", 'Oh, look. It\'s CNN\'s Jake Tapper doing a segment with correspondent Clare Duffy normalizing & giving credence to those celebrating the murder of the UnitedHealthCare CEO, arguing the celebrations are ""interesting"" & ""none of us support murder...BUT BUT these are real struggles""']"
11,47,11_wealthy_rich_rittenhouse_poor,"['wealthy', 'rich', 'rittenhouse', 'poor', 'billionaires', 'wealth', 'grew', 'father', 'family', 'kids']","['What irony. Spoiled delusional rich kid takes the life of a wealthy CEO who grew up poor. Luigi had failed in life by the age of 26 when compared to his private school classmates, and he decided that his only way of leaving his mark was to carry out this cowardly act.', 'Rittenhouse shot in self defense those attacking him. Penny saved people from a violent man who died of medical issues & drugs & was alive when police arrived\n\nLuigi is a spoiled rich kid who shot a father & husband in the back who grew up poor on a farm & improved insurance care', 'Luigi is an elitist, spoiled, rich kid who shot a husband & father in the back who grew up poor on a farm in Iowa & worked hard for his position & improved insurance access for customers.\n\nRittenhouse shot people attacking him in an effort to do him bodily harm\n\nLIBERAL MORAL ROT']"
12,45,12_innocent_murderer_victim_killed,"['innocent', 'murderer', 'victim', 'killed', 'actor', 'unjustified', 'deserved', 'justified', 'moral', 'kill']","['Even a mentally ill subway performer who’s acting out armed with a muffin deserves to live. Brian Thompson deserved to live. The social standings of perpetrator and victim are irrelevant. \n\nBut to understand why Brian Thompson became a target, read this', 'Brian Thompson was an innocent man.', 'Brian Thompson was an innocent person.']"
13,41,13_coward_born_portrayal_rich,"['coward', 'born', 'portrayal', 'rich', 'shot', 'young', 'critics', 'life', 'alive', 'hero']","[""The kid in the orange jumpsuit is a cowardly, spoiled, rich boy who shot a man in the back. That man's name is Brian Thompson. He grew up on a working farm, and his father was a grain elevator worker. You know what that makes all of you worshipping the big L? Trash."", '""Brian Thompson is the real working-class hero""', 'There’s an underlying envy of Brian Thompson. The hate comes from the fact that he achieved something many working-class people aspire to. His success makes critics feel inadequate, and that angers them. At the end of the day, it’s envy—and envy is corrosive to the mind.']"
14,38,14_unitedhealth_unitedhealthcareceo_insurance_health,"['unitedhealth', 'unitedhealthcareceo', 'insurance', 'health', 'died', 'united', 'sympathy', 'surgeries', 'powertothepeople', 'saddened']","['This is the kind perspective on the #UnitedHealthcare CEO assassination I’m looking to interview on  . Phoenix was denied by  for CANCER treatment yet would not wish death on anyone including the CEO! If you have been denied by UnitedHealthCare yet upset this…', 'Someone sent me a TikTok with music (Dead or Alive-BonJovi) celebrating the United CEO’s death. I just feel it’s distasteful. Especially seeing the thousands limes. #TikTok #SocialMedia #UnitedHealthcare #unitedhealthcareceo #unitedhealthceo #ImEvilEdwin🇺🇸', 'At what level do you get personal security as a CEO? Sure as hell would think the CEO of United Healthcare would have some level of security.\n\nSad & Graphic…RIP Brian Thompson\n#UnitedHealthcare #unitedhealthcareceo #BrianThompson']"
