Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document,Date,DateTime
Thank you for the response #TSTheErasTour #UnitedAgainstCorruption #UnitedHealthcare #healthcare #LifeSaver #fighters #everyone #Trending #AlwaysWonder,11,11_unitedhealth_healthcare_unitedagainstcorruption_support,"['unitedhealth', 'healthcare', 'unitedagainstcorruption', 'support', 'powertothepeople', 'protect', 'announce', 'hugs', 'creed', 'proud']","['Defend #UnitedHealthcare #healthcare #depose #deny #defend', 'Gear up like an assassin, but this time with healthcare on your side. 🗡️💊 Show off your stealthy style with the Assassin’s Creed UnitedHealthcare! Perfect for gamers and healthcare warriors alike. 🖤 Grab yours now! 👉', '💼 UnitedHealthcare Deny Defend Depose – because corporate strategies deserve a bold statement. Wear it loud, wear it proud! 🛒 Grab yours now 👉']",unitedhealth - healthcare - unitedagainstcorruption - support - powertothepeople - protect - announce - hugs - creed - proud,False,12/9/2024 21:58,12/9/2024 21:58
"$UHC is the coin for the people, by Luigi Mangione and his sacrifice #UnitedHealthcareAssassin",13,13_insurance_healthcare_unitedhealthcareassassin_benefits,"['insurance', 'healthcare', 'unitedhealthcareassassin', 'benefits', 'luigimangione', 'health', 'surgery', 'copay', 'surgeon', 'claim']","['Then STFU and stay there. Your entire feed is about Luigi and American politics, how pathetic. Insurance gave my sister a $200k heart surgery for a $200 copay. Grow the fuck up and stop thinking you can just kill people to solve problems in a country you don’t even live in.', ""hi I am the partner with the messed up back\n- I am not Luigi nor going to pull a Luigi\n- I needed surgery from the ER so didn't get to pick my surgeon\n- my v good tech health insurance denied the claim $60k+ claim originally, but after four months of appeals + reviews, approved"", 'Got a new job and I get benefits imma make this money then use those benefits to have the surgery on my knees that I’ve needed for years 😭 been walking around with a torn LCL, ACL, meniscus, patellar tendon, and broken foot for 2 years I’m so happy rn ily Luigi.']",insurance - healthcare - unitedhealthcareassassin - benefits - luigimangione - health - surgery - copay - surgeon - claim,False,12/9/2024 19:44,12/9/2024 19:44
Smdh this Luigi Mangione stuff is just another attack on my people,5,5_killed_millionaire_sallow_ceos,"['killed', 'millionaire', 'sallow', 'ceos', 'courage', 'deserves', 'giant', 'lives', 'revolutionary', 'care']","[""LUIGI MANGIONE is a dumb loser who murdered #UnitedHealthcare CEO Brian Thompson because he hurt his tard back due to sucking at surfing. He also eats McDonalds, is a weak drug addict and listens to Taylor Swift because he's a tard! #MAGA #FreeLuigi #IstandWithUnitedHealthcare"", 'Ur a pussy, ur glad an innocent unarmed man died simply because you dislike his legal practices, if you cant stand for the freedom of being able to walk on the street without being murdered, u dont stand for anything at all, luigi and all of you are anti society', 'Thompson safeguarded over 8,000,000 members. His company saved the lives of many. The Coward Luigi, who shot another man in his back, will rot having accomplished nothing. His skin will be sallow. He leaves neither care nor riches for his family. He is less than nothing.']",killed - millionaire - sallow - ceos - courage - deserves - giant - lives - revolutionary - care,False,12/9/2024 19:39,12/9/2024 19:39
"This smugly smiling murderer is being defended by the Left as they claim the murder of Brian Thompson was the product of capitalism and the lack of socialized Healthcare in the United States. 

Disgusting

Jared Craig, VP
VFAF, National Chapter",9,9_murderer_healthcare_genocide_assassinated,"['murderer', 'healthcare', 'genocide', 'assassinated', 'socialism', 'activists', 'fakenews', 'capitalism', 'dehumanization', 'anti']","['DISGUSTING: Fat left activists are posting videos celebrating the killing of United Healthcare CEO Brian Thompson and describing the murderer as a “hero.”\n\nThese same freaks are the ones who say genocide when countries go after terrorists.', 'This smugly smiling murderer is being defended by the Left as they claim the murder of Brian Thompson was the product of capitalism and the lack of socialized Healthcare in the United States. \n\nDisgusting\n\nJared Craig, VP\nVFAF, National Chapter', 'Beneath the horror of the murder of healthcare CEO Brian Thompson lies a virulent anti-capitalism. We look at our healthcare system, and the incredible value of capitalism.\n\nListening to ""Bloody Anti-Capitalism "" at']",murderer - healthcare - genocide - assassinated - socialism - activists - fakenews - capitalism - dehumanization - anti,True,12/9/2024 19:38,12/9/2024 19:38
"Couldn't have been Luigi, sorry. Me and him were hanging out all last week in Cambria, CA. Had a few drinks and my man couldn't shut up about how much he loved his new health insurance plan at work.",0,0_messiah_killed_poor_much,"['messiah', 'killed', 'poor', 'much', 'percent', 'mushroom', 'lot', 'maybe', 'overlord', 'kingdom']","[""Brian is a tragic hero. His work and company make people live longer but if you're not a systems thinker you won't see it. \n\nBest guess the percent population that is celebrating and Luigi and hating on Brian? \n\nI have to imagine less than 5%? Sort of like direct overlap with the…"", ""He was there helping his fellow Americans. While Luigi on the other hand killed a man in cold blood. I see a lot of differences. To all of you saying that Kyle is a murderer go fuck yourself. Next time a person pulls a gun on you let's see how you act."", 'Luigi is an elitist, spoiled, rich kid who shot a husband & father in the back who grew up poor on a farm in Iowa & worked hard for his position & improved insurance access for customers.\n\nRittenhouse shot people attacking him in an effort to do him bodily harm\n\nLIBERAL MORAL ROT']",messiah - killed - poor - much - percent - mushroom - lot - maybe - overlord - kingdom,False,12/9/2024 19:24,12/9/2024 19:24
had a lovely time with my friend Luigi Mangione at my house in the UK far away from New York last week talking about how great health insurance CEOs are,10,10_insurance_flo_murderer_policy,"['insurance', 'flo', 'murderer', 'policy', 'guilty', 'jury', 'customer', 'claims', 'else', 'doctors']","['Luigi grew up in privilege, was never even a customer of UHC, apparently did get treatment for his back.\n\nBrian Thompson grew up middle class and made his own way.\n\nLiberals are cheering on a coddled rich kid who murdered a good guy who worked for everything he had.', 'Don’t go with that company then😂 almost every ceo has done evil things to better their company. That’s how the world works. You weirdos who are gagging for this murderer are so weird. If Luigi looked like you, no one would give a shit and the story would be forgotten after a day', ""🖕 Luigi and his family, he's a cowardly murderer who murdered an upper class man in cold blood in broad daylight, as for denying claims, I don't care, if your insurance company sucks go somewhere else instead of murdering the upper class""]",insurance - flo - murderer - policy - guilty - jury - customer - claims - else - doctors,False,12/9/2024 18:56,12/9/2024 18:56
I want everyone to know that this is #FAKENEWS! The man in this video is NOT #UnitedHealthcare's CEO Brian Thompson! ALL LIES! Presented by none other than Biden's corrupt DOJ & the corrupt Blackstone Group!!! He was fighting them both at the time of his murder!! NO COINCIDENCES!,9,9_murderer_healthcare_genocide_assassinated,"['murderer', 'healthcare', 'genocide', 'assassinated', 'socialism', 'activists', 'fakenews', 'capitalism', 'dehumanization', 'anti']","['DISGUSTING: Fat left activists are posting videos celebrating the killing of United Healthcare CEO Brian Thompson and describing the murderer as a “hero.”\n\nThese same freaks are the ones who say genocide when countries go after terrorists.', 'This smugly smiling murderer is being defended by the Left as they claim the murder of Brian Thompson was the product of capitalism and the lack of socialized Healthcare in the United States. \n\nDisgusting\n\nJared Craig, VP\nVFAF, National Chapter', 'Beneath the horror of the murder of healthcare CEO Brian Thompson lies a virulent anti-capitalism. We look at our healthcare system, and the incredible value of capitalism.\n\nListening to ""Bloody Anti-Capitalism "" at']",murderer - healthcare - genocide - assassinated - socialism - activists - fakenews - capitalism - dehumanization - anti,False,12/9/2024 16:01,12/9/2024 16:01
"The assassination of UnitedHealthcare CEO Brian Thompson is a lot like the assassination of JFK in the sense that both men died as martyrs who fought tirelessly to better the lives of the American people, and the only ones left cheering were the Southern hicks and the commies.",9,9_murderer_healthcare_genocide_assassinated,"['murderer', 'healthcare', 'genocide', 'assassinated', 'socialism', 'activists', 'fakenews', 'capitalism', 'dehumanization', 'anti']","['DISGUSTING: Fat left activists are posting videos celebrating the killing of United Healthcare CEO Brian Thompson and describing the murderer as a “hero.”\n\nThese same freaks are the ones who say genocide when countries go after terrorists.', 'This smugly smiling murderer is being defended by the Left as they claim the murder of Brian Thompson was the product of capitalism and the lack of socialized Healthcare in the United States. \n\nDisgusting\n\nJared Craig, VP\nVFAF, National Chapter', 'Beneath the horror of the murder of healthcare CEO Brian Thompson lies a virulent anti-capitalism. We look at our healthcare system, and the incredible value of capitalism.\n\nListening to ""Bloody Anti-Capitalism "" at']",murderer - healthcare - genocide - assassinated - socialism - activists - fakenews - capitalism - dehumanization - anti,False,12/8/2024 22:56,12/8/2024 22:56
This is a fantastic portrait of deposed United Health CEO Brian Thompson.,7,7_unitedhealth_ceos_insurance_healthcare,"['unitedhealth', 'ceos', 'insurance', 'healthcare', 'insured', 'deaths', 'health', 'providers', 'tragic', 'company']","[""The sheer lunacy from CNN guest Neill Franklin claiming UnitedHealthcare CEO Brian Thompson might have orchestrated his own murder for 'insurance purposes' is a new low for media sensationalism. This baseless conspiracy theory not only insults the memory of Thompson but also…"", 'As America shut down in March 2020, and federal officials struggled to get $$ to desperate health providers, Brian Thompson said UnitedHealth could do it asap — and they did.\n\nThe $135 billion fund helped keep countless providers afloat.\n\nThompson’s role has never been reported.', ""I guess little fella didn't learn. He constantly demonizes CEOs. Brian Thompson CEO of United Healthcare was MURDERED yesterday in NYC. Instead of giving it a rest little fella doubles down on disparaging another CEO. Looks like litter fella won't stop until all CEOs are murdered""]",unitedhealth - ceos - insurance - healthcare - insured - deaths - health - providers - tragic - company,False,12/8/2024 19:25,12/8/2024 19:25
luigi the best man in this space. chad 🗿,0,0_messiah_killed_poor_much,"['messiah', 'killed', 'poor', 'much', 'percent', 'mushroom', 'lot', 'maybe', 'overlord', 'kingdom']","[""Brian is a tragic hero. His work and company make people live longer but if you're not a systems thinker you won't see it. \n\nBest guess the percent population that is celebrating and Luigi and hating on Brian? \n\nI have to imagine less than 5%? Sort of like direct overlap with the…"", ""He was there helping his fellow Americans. While Luigi on the other hand killed a man in cold blood. I see a lot of differences. To all of you saying that Kyle is a murderer go fuck yourself. Next time a person pulls a gun on you let's see how you act."", 'Luigi is an elitist, spoiled, rich kid who shot a husband & father in the back who grew up poor on a farm in Iowa & worked hard for his position & improved insurance access for customers.\n\nRittenhouse shot people attacking him in an effort to do him bodily harm\n\nLIBERAL MORAL ROT']",messiah - killed - poor - much - percent - mushroom - lot - maybe - overlord - kingdom,False,12/8/2024 18:16,12/8/2024 18:16
