ID,Url,original_text,gpt-4.1-mini_stance,Date,Topic
21,http://twitter.com/SampleCady/statuses/1866241088148631595,Thank you for the response #TSTheErasTour #UnitedAgainstCorruption #UnitedHealthcare #healthcare #LifeSaver #fighters #everyone #Trending #AlwaysWonder,1,12/9/2024 21:58,0
2253,http://twitter.com/BTLcards/statuses/1866207401562517682,"$UHC is the coin for the people, by Luigi Mangione and his sacrifice #UnitedHealthcareAssassin",1,12/9/2024 19:44,16
2374,http://twitter.com/ASTCTer/statuses/1866205949322842153,Smdh this Luigi Mangione stuff is just another attack on my people,1,12/9/2024 19:39,3
2399,http://twitter.com/mimirver/statuses/1866205733127061599,"This smugly smiling murderer is being defended by the Left as they claim the murder of Brian Thompson was the product of capitalism and the lack of socialized Healthcare in the United States. 

Disgusting

Jared Craig, VP
VFAF, National Chapter",1,12/9/2024 19:38,7
2683,http://twitter.com/dumbmailguy/statuses/1866202169537618420,"Couldn't have been Luigi, sorry. Me and him were hanging out all last week in Cambria, CA. Had a few drinks and my man couldn't shut up about how much he loved his new health insurance plan at work.",1,12/9/2024 19:24,1
3252,http://twitter.com/christmasdino/statuses/1866195178987405802,had a lovely time with my friend Luigi Mangione at my house in the UK far away from New York last week talking about how great health insurance CEOs are,1,12/9/2024 18:56,8
4043,http://twitter.com/hopeagainusa/statuses/1866151163806290025,I want everyone to know that this is #FAKENEWS! The man in this video is NOT #UnitedHealthcare's CEO Brian Thompson! ALL LIES! Presented by none other than Biden's corrupt DOJ & the corrupt Blackstone Group!!! He was fighting them both at the time of his murder!! NO COINCIDENCES!,1,12/9/2024 16:01,7
4495,http://twitter.com/Sheila_Katz1487/statuses/1865893239137710395,"The assassination of UnitedHealthcare CEO Brian Thompson is a lot like the assassination of JFK in the sense that both men died as martyrs who fought tirelessly to better the lives of the American people, and the only ones left cheering were the Southern hicks and the commies.",1,12/8/2024 22:56,12
4654,http://twitter.com/W33Cleveland/statuses/1865840254605037721,This is a fantastic portrait of deposed United Health CEO Brian Thompson.,1,12/8/2024 19:25,12
4704,http://twitter.com/Mister_Black13/statuses/1865822694333428071,luigi the best man in this space. chad 🗿,1,12/8/2024 18:16,3
4940,http://twitter.com/Justine_Brooke/statuses/1865751700214075818,Most people celebrating the murder of the UnitedHealthcare CEO are lazy couch bums and bored suburbanites trying to sound like an edgy vigilante.,1,12/8/2024 13:34,5
5179,http://twitter.com/Mhdude1Mhdude1/statuses/1865624087730524537,UnitedHealthcare covers old really folks with various doctors they need even in their nineties! HUMANA too!,1,12/8/2024 5:06,0
5249,http://twitter.com/amaryaghagower/statuses/1865610835952889936,Support the Brian Thompson universal healthcare act of 2025. Honor Brian as he would have wanted.,1,12/8/2024 4:14,15
