Topic,Count,Name,Representation,Representative_Docs
0,26,0_unitedhealthcareinc_healthinsurance_unitedhealthgroupincorporated_healthcare,"['unitedhealthcareinc', 'healthinsurance', 'unitedhealthgroupincorporated', 'healthcare', 'medicare', 'hospitals', 'enrollment', 'enrolled', 'plan', 'plans']","['Thinking about health insurance? UnitedHealthcare (#UnitedHealthcareInc, #UnitedHealthGroupIncorporated) offers a wide range of plans. Compare options & find the best fit for your needs! Learn more: [link to website] #UnitedHealthcareInc,Unite', 'UnitedHealthcare (UHC) offers a food benefit that provides a monthly credit to help pay for healthy food and over-the-counter (OTC) products. The credit is loaded onto a UCard, which can be used at participating stores or online.', ""Looking for a Medicare plan that meets your needs and budget? I can help. I'm a licensed sales agent for UnitedHealthcare Medicare Advantage plans based in FL. Call me at 727-688-9125 , TTY 711.\n\nWe only have a fews days left of Open Enrollment. Contact me soon!""]"
1,25,1_murderer_killed_poor_rittenhouse,"['murderer', 'killed', 'poor', 'rittenhouse', 'rich', 'grew', 'shot', 'fuck', 'family', 'customers']","['Don’t go with that company then😂 almost every ceo has done evil things to better their company. That’s how the world works. You weirdos who are gagging for this murderer are so weird. If Luigi looked like you, no one would give a shit and the story would be forgotten after a day', ""🖕 Luigi and his family, he's a cowardly murderer who murdered an upper class man in cold blood in broad daylight, as for denying claims, I don't care, if your insurance company sucks go somewhere else instead of murdering the upper class"", 'Luigi is an elitist, spoiled, rich kid who shot a husband & father in the back who grew up poor on a farm in Iowa & worked hard for his position & improved insurance access for customers.\n\nRittenhouse shot people attacking him in an effort to do him bodily harm\n\nLIBERAL MORAL ROT']"
2,19,2_healthcare_medicaid_malpractice_hospital,"['healthcare', 'medicaid', 'malpractice', 'hospital', 'surgeries', 'medicine', 'premiums', 'cpa', 'tricare', 'compassionate']","['. In the UK, NHS malpractice accounts for approximately 0.06% of the population, while in the U.S., private healthcare malpractice accounts for about 0.02% of the population. And you’re applauding the death of the #UnitedHealthcare CEO over these numbers?! 🤮', 'My mom has cancer and UnitedHealthcare paid about 1.8 million dollars of her hospital bills. The chemo, medicine, surgeries, etc were all paid for. So tell me, did you have a personal experience or are you just going off of what you see on the internet?', 'Crazy what the Loonies have pushed America to\n\nUnited health is \n- $500 B MC\n- $370 B revenues \n- Part of Dow 30\n- more importantly part of my core portfolio\n\n& they shot their CEO Dead today morning']"
3,18,3_yall_much_keep_happy,"['yall', 'much', 'keep', 'happy', 'community', 'say', '4xfszhsdyoeixb5qvzdga3aq9gsgdchbnawewyhna3tp', 'talk', 'saved', 'legend']","[""We're happy not to see you sad. We want to see you well and protected Luigi"", ""I see you've been quadruple ratioed\n\nWould you say you learned anything? If so, what? \n\nDon't talk badly about our guy, Luigi"", '4XfSZHsdYoeiXb5qvzdGa3aq9gSGdCHBnAwewYHNa3Tp\n\nThank you Luigi \nWe appreciate all you’ve been doing for the community at large, even no win yet\n\nI’ll still keep supporting you ❤️ \nMuch love ❤️ legend Luigi']"
4,18,4_envy_became_basketball_critics,"['envy', 'became', 'basketball', 'critics', 'grew', 'chi', 'enemy', 'alive', 'hero', 'leader']","['You’re an unaccomplished nobody filled with hate and envy. Brian Thompson was a far better person than you ever were.', 'Brian Thompson grew up in tiny Jewell, Iowa, worked in soybean fields, played basketball, and became valedictorian of his 50-person class. He rose to lead 140,000 employees and $280B in revenue at a top global company. A life of hard work, the American Dream. God bless him.', 'There’s an underlying envy of Brian Thompson. The hate comes from the fact that he achieved something many working-class people aspire to. His success makes critics feel inadequate, and that angers them. At the end of the day, it’s envy—and envy is corrosive to the mind.']"
5,16,5_murderer_demise_outraged_death,"['murderer', 'demise', 'outraged', 'death', 'assasination', 'justifies', 'justified', 'solidarity', 'violence', 'sue']","['Obviously, there\'s a ton we do not know about the Unitedhealthcare (alleged) shooter.\n\nWhat we do know already: all those progressives who cheered it and hoped - yes, hoped - it would be a ""justified"" killing, a denied care tit-for-tat, have humiliated themselves yet again.', 'If the #UnitedHealthcare #assasination is teaching us: there’s lots of uselessly violent and uneducated people that don’t know how insurance or CEOs work. A life was taken and that’s never a reason to celebrate unless you’re a brain dead terrorist.', ""It's just sad to see so many people celebrating death of a person, just cos they've a personal grouse with the co. he worked for, claims've well defined rules, sue the co. ,DON'T celebrate a murder of a man doing his job, just cos it conflicts with your need #UnitedHealthcare""]"
6,15,6_killed_unarmed_millionaire_ceos,"['killed', 'unarmed', 'millionaire', 'ceos', 'courage', 'sallow', 'hero', 'contempt', 'loser', 'giant']","['Ur a pussy, ur glad an innocent unarmed man died simply because you dislike his legal practices, if you cant stand for the freedom of being able to walk on the street without being murdered, u dont stand for anything at all, luigi and all of you are anti society', ""LUIGI MANGIONE is a dumb loser who murdered #UnitedHealthcare CEO Brian Thompson because he hurt his tard back due to sucking at surfing. He also eats McDonalds, is a weak drug addict and listens to Taylor Swift because he's a tard! #MAGA #FreeLuigi #IstandWithUnitedHealthcare"", 'Thompson safeguarded over 8,000,000 members. His company saved the lives of many. The Coward Luigi, who shot another man in his back, will rot having accomplished nothing. His skin will be sallow. He leaves neither care nor riches for his family. He is less than nothing.']"
7,15,7_murderer_healthcare_genocide_activists,"['murderer', 'healthcare', 'genocide', 'activists', 'fakenews', 'capitalism', 'orchestrated', 'dehumanization', 'anti', 'corrupt']","[""Assistant Professor Julia Alekseyeva of U Penn should be fired and credentials revoked for celebrating murder of United Healthcare CEO Brian Thompson! Her comments were fanning the flames of hate and violence towards anyone that doesn't agree with them. Ivy league schools suck!"", 'This smugly smiling murderer is being defended by the Left as they claim the murder of Brian Thompson was the product of capitalism and the lack of socialized Healthcare in the United States. \n\nDisgusting\n\nJared Craig, VP\nVFAF, National Chapter', 'Beneath the horror of the murder of healthcare CEO Brian Thompson lies a virulent anti-capitalism. We look at our healthcare system, and the incredible value of capitalism.\n\nListening to ""Bloody Anti-Capitalism "" at']"
8,14,8_healthcare_insurance_doctors_health,"['healthcare', 'insurance', 'doctors', 'health', 'prescriptions', 'saint', 'care', 'jesus', 'jury', 'office']","['Someone needs to lie their way onto the jury. \n\nPractice with me: \n“Luigi Who? I love my health insurance!”\n\nThen cross your arms and say not guilty no matter what evidence they bring in.', 'had a lovely time with my friend Luigi Mangione at my house in the UK far away from New York last week talking about how great health insurance CEOs are', ""I just want to thank Luigi Mangione for helping my husband take care of me the day after my cataract surgery. He was helping my husband do chores around the house on 12/04/24 while I was sleeping off the anesthesia. Such a kind soul who'd never do anything wrong.""]"
9,14,9_obamacare_ceos_insurance_billionaire,"['obamacare', 'ceos', 'insurance', 'billionaire', 'govt', 'regulated', 'enterprise', 'regulations', 'audit', 'congress']","['This is pure evil. I’m sure we’ll learn more about the motivation, but it can’t be helped by politicians constantly dehumanizing business leaders and blaming companies for the outcomes of ill-conceived regulations.', 'Chris Murphy…. “I’m never going to condone gun violence”…. Then goes on to basically justify the murder of the UnitedHealthCare CEO. \n\nHe also seems to forget that the insurance industry is heavily regulated in all they do due to the ObamaCare act which he voted for.', ""I guess little fella didn't learn. He constantly demonizes CEOs. Brian Thompson CEO of United Healthcare was MURDERED yesterday in NYC. Instead of giving it a rest little fella doubles down on disparaging another CEO. Looks like litter fella won't stop until all CEOs are murdered""]"
